endTime,artistName,trackName,msPlayed
2023-12-10 04:21,Cashmere Cat,Miss You (with Major Lazer & Tory Lanez),186231
2023-12-10 07:38,Bebe Rexha,Not 20 Anymore,56868
2023-12-10 07:38,Go-Jo,Mrs. Hollywood,5320
2023-12-10 07:41,Emei,Backtrack,158840
2023-12-10 07:44,MICO,bad note,166771
2023-12-10 07:45,MICO,m.i.a.,12988
2023-12-10 07:48,The Band CAMINO,See You Later,155733
2023-12-10 08:04,The Band CAMINO,What Am I Missing?,53166
2023-12-10 08:08,The Band CAMINO,What Am I Missing?,119509
2023-12-10 08:10,LØLØ,debbie downer,159617
2023-12-10 08:14,MICO,maybe i'm the problem now,110022
2023-12-10 10:44,MICO,maybe i'm the problem now,4510
2023-12-10 10:46,Waterparks,FUNERAL GREY,164138
2023-12-10 10:49,Maggie Lindemann,Crash and Burn,159636
2023-12-10 10:51,starfall,tied up,110564
2023-12-10 11:03,Carly Rae Jepsen,I Really Like You,203228
2023-12-10 11:06,Carly Rae Jepsen,Let’s Get Lost,193482
2023-12-10 11:10,Carly Rae Jepsen,First Time,215800
2023-12-10 11:13,Carly Rae Jepsen,LA Hallucinations,184613
2023-12-10 11:16,Carly Rae Jepsen,Talking to Yourself,173200
2023-12-10 11:19,Carly Rae Jepsen,Come Over,174206
2023-12-10 11:21,Carly Rae Jepsen,Fake Mona Lisa,132146
2023-12-10 11:24,Carly Rae Jepsen,No Drug Like Me,208240
2023-12-10 11:28,Carly Rae Jepsen,More Than A Memory,242026
2023-12-10 11:32,Carly Rae Jepsen,Call Me Maybe,193400
2023-12-10 11:35,Carly Rae Jepsen,Tiny Little Bows,201560
2023-12-10 11:38,Carly Rae Jepsen,Last Christmas,212453
2023-12-10 11:42,Carly Rae Jepsen,Too Much,197093
2023-12-10 11:45,Carly Rae Jepsen,Bad Thing Twice,193466
2023-12-10 11:50,Carly Rae Jepsen,The Loneliest Time (feat. Rufus Wainwright),274506
2023-12-10 11:52,Carly Rae Jepsen,Body Language,173933
2023-12-10 11:56,Carly Rae Jepsen,Aeroplanes,200819
2023-12-10 11:59,Carly Rae Jepsen,The Sound,171160
2023-12-10 12:02,Carly Rae Jepsen,Now That I Found You,200320
2023-12-10 12:05,Carly Rae Jepsen,Beautiful,197986
2023-12-10 12:08,Carly Rae Jepsen,Shadow,169467
2023-12-10 12:12,Carly Rae Jepsen,Shy Boy,209429
2023-12-10 12:16,Carly Rae Jepsen,Run Away With Me,251320
2023-12-10 12:19,Carly Rae Jepsen,Curiosity,213120
2023-12-10 12:22,Carly Rae Jepsen,Surrender My Heart,168653
2023-12-10 12:27,Carly Rae Jepsen,Psychedelic Switch,272035
2023-12-10 12:31,Carly Rae Jepsen,Boy Problems,222291
